id,doc_type,hospital,source_file,equipment_name,manufacturer,model,fault_description,initial_diagnosis,action_taken,content,reject_reason
H1-RM-00653,repair_record,Hospital 1,repair_records_1.csv,16 Slice,,Mx16,issue,"the inverter for the ct scan was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the ct scan from operating.","upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which restored inverter functionality temporarily. after the reset, the inverter powered on successfully, and the ct scan resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.","Equipment: 16 Slice. Model: Mx16. Problem: issue. Initial diagnosis: the inverter for the ct scan was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the ct scan from operating.. Work done: upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which restored inverter functionality temporarily. after the reset, the inverter powered on successfully, and the ct scan resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.",Duplicate content
H1-RM-00654,repair_record,Hospital 1,repair_records_1.csv,1.5 Tesla,,Achieva 1.5T,issue,"the inverter for the mri was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the mri system from operating.","upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which temporarily restored inverter functionality. after the reset, the inverter powered on successfully, and the mri resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.","Equipment: 1.5 Tesla. Model: Achieva 1.5T. Problem: issue. Initial diagnosis: the inverter for the mri was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the mri system from operating.. Work done: upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which temporarily restored inverter functionality. after the reset, the inverter powered on successfully, and the mri resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.",Duplicate content
H1-RM-00655,repair_record,Hospital 1,repair_records_1.csv,1.5 Tesla,,Achieva 1.5T,issue,"the inverter for the mri was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the mri system from operating.","upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which temporarily restored inverter functionality. after the reset, the inverter powered on successfully, and the mri resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.","Equipment: 1.5 Tesla. Model: Achieva 1.5T. Problem: issue. Initial diagnosis: the inverter for the mri was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the mri system from operating.. Work done: upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which temporarily restored inverter functionality. after the reset, the inverter powered on successfully, and the mri resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.",Duplicate content
H1-RM-00656,repair_record,Hospital 1,repair_records_1.csv,1.5 Tesla,,Achieva 1.5T,issue,"the inverter for the mri was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the mri system from operating.","upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which temporarily restored inverter functionality. after the reset, the inverter powered on successfully, and the mri resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.","Equipment: 1.5 Tesla. Model: Achieva 1.5T. Problem: issue. Initial diagnosis: the inverter for the mri was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the mri system from operating.. Work done: upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which temporarily restored inverter functionality. after the reset, the inverter powered on successfully, and the mri resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.",Duplicate content
H1-RM-00657,repair_record,Hospital 1,repair_records_1.csv,16 Slice,,Mx16,issue,"the inverter for the ct scan was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the ct scan from operating.","upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which restored inverter functionality temporarily. after the reset, the inverter powered on successfully, and the ct scan resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.","Equipment: 16 Slice. Model: Mx16. Problem: issue. Initial diagnosis: the inverter for the ct scan was reported to be non-functional, as it failed to power on after an electricity cut-off. this interruption prevented the ct scan from operating.. Work done: upon inspection, it was identified that the ups battery backup was weak and required replacement. the system was reset, which restored inverter functionality temporarily. after the reset, the inverter powered on successfully, and the ct scan resumed operation. however, to ensure reliable performance during future power outages, the ups battery needs to be replaced.",Duplicate content
H2-RM-00097,repair_record,Hospital 2,repair_records_2.csv,Ventilator,Imt Medical,Bella Vista,not being used at the department,,tested and performed the preoperational test for the device.,Equipment: Ventilator. Manufacturer: Imt Medical. Model: Bella Vista. Problem: not being used at the department. Work done: tested and performed the preoperational test for the device.,Duplicate content,
H2-RM-00130,repair_record,Hospital 2,repair_records_2.csv,Laparoscopic Tower,Secure,4K,,,laparoscopic video processor received for demonstration.,Equipment: Laparoscopic Tower. Manufacturer: Secure. Model: 4K. Work done: laparoscopic video processor received for demonstration.,Missing both fault_description and initial_diagnosis,708c1c42d4f697a7
H2-RM-00160,repair_record,Hospital 2,repair_records_2.csv,Centrifuge Machine,Remi,Neya-8,,,installed the machine,Equipment: Centrifuge Machine. Manufacturer: Remi. Model: Neya-8. Work done: installed the machine,Missing both fault_description and initial_diagnosis,9d33d17fbc8e8404
H2-RM-00170,repair_record,Hospital 2,repair_records_2.csv,C-Arm Machine,Kiran,Elite,,,completed installation,Equipment: C-Arm Machine. Manufacturer: Kiran. Model: Elite. Work done: completed installation,Missing both fault_description and initial_diagnosis,1287c162538f96a6
H2-RM-00261,repair_record,Hospital 2,repair_records_2.csv,Ventilator,Carefusion,T Bird Series Vela,o2 range error and o2 calibration error,,inspected and found out the oxygen sensor was expired causing the alarm,Equipment: Ventilator. Manufacturer: Carefusion. Model: T Bird Series Vela. Problem: o2 range error and o2 calibration error. Work done: inspected and found out the oxygen sensor was expired causing the alarm,Duplicate content,
H2-RM-00611,repair_record,Hospital 2,repair_records_2.csv,Oxygen Concentrator,Engage Nepal,Qjzy10La,device reported as non-functional.,,"upon inspection, the loud noise was being heard when the device was run. the noise was traced back to the compressor exhausting excess air due to pressure built up in the compressor. the zeolite being damaged due to moisture and not being able to filter or pass the air was identified as the cause. the zeolite needs replacement. the device can t be brought back to functionality otherwise.","Equipment: Oxygen Concentrator. Manufacturer: Engage Nepal. Model: Qjzy10La. Problem: device reported as non-functional.. Work done: upon inspection, the loud noise was being heard when the device was run. the noise was traced back to the compressor exhausting excess air due to pressure built up in the compressor. the zeolite being damaged due to moisture and not being able to filter or pass the air was identified as the cause. the zeolite needs replacement. the device can t be brought back to functionality otherwise.",Duplicate content,
H2-RM-00614,repair_record,Hospital 2,repair_records_2.csv,Oxygen Concentrator,Engage Nepal,,device reported as non-functional,,"the device was thoroughly inspected. the device produced a loud noise frequently which was traced back to the compressor exhausting the excess air due to overpressure. the zeolite was found to be in a powder form and unable to fiter and pass the air leading to overpressure . hence, the seive bed(zeolite) requires replacement or else the device can t be brought back to functionality.","Equipment: Oxygen Concentrator. Manufacturer: Engage Nepal. Problem: device reported as non-functional. Work done: the device was thoroughly inspected. the device produced a loud noise frequently which was traced back to the compressor exhausting the excess air due to overpressure. the zeolite was found to be in a powder form and unable to fiter and pass the air leading to overpressure . hence, the seive bed(zeolite) requires replacement or else the device can t be brought back to functionality.",Duplicate content,
H2-RM-00617,repair_record,Hospital 2,repair_records_2.csv,Oxygen Concentrator,Engage Nepal,,device was reported as non-functional.,,"the device was thoroughly inspected. the device produced a loud noise frequently which was traced back to the compressor exhausting the excess air due to overpressure. the zeolite was found to be in a powder form and unable to fiter and pass the air leading to overpressure . hence, the seive bed(zeolite) requires replacement or else the device can t be brought back to functionality.","Equipment: Oxygen Concentrator. Manufacturer: Engage Nepal. Problem: device was reported as non-functional.. Work done: the device was thoroughly inspected. the device produced a loud noise frequently which was traced back to the compressor exhausting the excess air due to overpressure. the zeolite was found to be in a powder form and unable to fiter and pass the air leading to overpressure . hence, the seive bed(zeolite) requires replacement or else the device can t be brought back to functionality.",Duplicate content,
H2-RM-00638,repair_record,Hospital 2,repair_records_2.csv,Air Rotor,Myricko,Wj-122,new installation,,"a new air rotor was installed, tested and found to be working properly.","Equipment: Air Rotor. Manufacturer: Myricko. Model: Wj-122. Problem: new installation. Work done: a new air rotor was installed, tested and found to be working properly.",Duplicate content,
H2-RM-00639,repair_record,Hospital 2,repair_records_2.csv,Air Rotor,Myricko,Wj-122,new installation,,"a new air rotor was installed, tested and found to be working properly.","Equipment: Air Rotor. Manufacturer: Myricko. Model: Wj-122. Problem: new installation. Work done: a new air rotor was installed, tested and found to be working properly.",Duplicate content,
H2-RM-00724,repair_record,Hospital 2,repair_records_2.csv,Digital Blood Pressure Monitor,Mhi,,,,"department: opd equipment: digital blood pressure monitor manufacturer: mhi issue reported: the device was reported to display abnormally high blood pressure readings. work performed: the digital bp monitor was thoroughly evaluated. the device was then opened for internal inspection. the pressure transducer/sensor assembly was found to have minor contamination, which can interfere with accurate pressure detection. the sensors were carefully cleaned, and the system wasreset to restore proper pressure mapping. the bp cuff and tubing were inspected for leaks or deformities and were found to be in good condition. after reassembly and repeated functional testing, the device produced readings within acceptable accuracy limits.","Equipment: Digital Blood Pressure Monitor. Manufacturer: Mhi. Work done: department: opd equipment: digital blood pressure monitor manufacturer: mhi issue reported: the device was reported to display abnormally high blood pressure readings. work performed: the digital bp monitor was thoroughly evaluated. the device was then opened for internal inspection. the pressure transducer/sensor assembly was found to have minor contamination, which can interfere with accurate pressure detection. the sensors were carefully cleaned, and the system wasreset to restore proper pressure mapping. the bp cuff and tubing were inspected for leaks or deformities and were found to be in good condition. after reassembly and repeated functional testing, the device produced readings within acceptable accuracy limits.",Missing both fault_description and initial_diagnosis,cc3ee23a65baa060
H2-RM-00730,repair_record,Hospital 2,repair_records_2.csv,Dental Chair,Confident,Mookambika,water leakage from the handpiece,,"the dental chair unit was thoroughly inspected. water droplets were observed coming from the air rotors even when the foot switch was released. the handpieces were individually examined and found to be functioning properly. upon further inspection, the wrv (water regulation valve) was identified as the cause of the issue. the valve was unable to fully stop the water flow due to a spring mechanism being stuck as a result of accumulated debris. the valve assembly was cleaned, debris removed, and the spring mechanism lubricated. after servicing, the system was tested and confirmed to be operating normally. no water leakage was observed from the air rotors.","Equipment: Dental Chair. Manufacturer: Confident. Model: Mookambika. Problem: water leakage from the handpiece. Work done: the dental chair unit was thoroughly inspected. water droplets were observed coming from the air rotors even when the foot switch was released. the handpieces were individually examined and found to be functioning properly. upon further inspection, the wrv (water regulation valve) was identified as the cause of the issue. the valve was unable to fully stop the water flow due to a spring mechanism being stuck as a result of accumulated debris. the valve assembly was cleaned, debris removed, and the spring mechanism lubricated. after servicing, the system was tested and confirmed to be operating normally. no water leakage was observed from the air rotors.",Duplicate content,
H2-RM-00733,repair_record,Hospital 2,repair_records_2.csv,Oxygen Concentrator,Engage Nepal,Qjzy10La,,,"the oxygen concentrator was thoroughly inspected. oxygen output was evaluated using an oxygen analyzer, which confirmed that the oxygen purity and actual flow rate were within acceptable limits. however, the flowmeter display indicated a lower flow than the actual output. the ultrasonic transducer was checked and found to be functioning properly. upon further assessment, the flowmeter was confirmed to be faulty. the defective flowmeter was replaced with a functional unit taken from a non-functional device.","Equipment: Oxygen Concentrator. Manufacturer: Engage Nepal. Model: Qjzy10La. Work done: the oxygen concentrator was thoroughly inspected. oxygen output was evaluated using an oxygen analyzer, which confirmed that the oxygen purity and actual flow rate were within acceptable limits. however, the flowmeter display indicated a lower flow than the actual output. the ultrasonic transducer was checked and found to be functioning properly. upon further assessment, the flowmeter was confirmed to be faulty. the defective flowmeter was replaced with a functional unit taken from a non-functional device.",Missing both fault_description and initial_diagnosis,44b8e41d68bff056
H2-RM-00742,repair_record,Hospital 2,repair_records_2.csv,Nebulizer,Ross Max,Ne100,,,"the device was tested and found to have no air output, although the compressor motor was running. upon disassembly, it was observed that the piston had become detached due to a worn holder. the holder was repaired, and the piston was securely reattached. additionally, the filter and compressor chamber were found to be dirty and were thoroughly cleaned. after reassembly and testing, the device was found to be operating normally with proper air output.","Equipment: Nebulizer. Manufacturer: Ross Max. Model: Ne100. Work done: the device was tested and found to have no air output, although the compressor motor was running. upon disassembly, it was observed that the piston had become detached due to a worn holder. the holder was repaired, and the piston was securely reattached. additionally, the filter and compressor chamber were found to be dirty and were thoroughly cleaned. after reassembly and testing, the device was found to be operating normally with proper air output.",Missing both fault_description and initial_diagnosis,66335c913fa3e863
H2-RM-00755,repair_record,Hospital 2,repair_records_2.csv,Suction Machine,Jinsol,Js-001,,,"the device was thoroughly inspected and the compressor was found to be generating adequate vacuum. however, suction was not effective. further inspection revealed that one of the collection bottles had cracks, causing loss of vacuum. the cracked bottle was replaced with a new one. after replacement, the suction function was tested and found to be operating normally.","Equipment: Suction Machine. Manufacturer: Jinsol. Model: Js-001. Work done: the device was thoroughly inspected and the compressor was found to be generating adequate vacuum. however, suction was not effective. further inspection revealed that one of the collection bottles had cracks, causing loss of vacuum. the cracked bottle was replaced with a new one. after replacement, the suction function was tested and found to be operating normally.",Missing both fault_description and initial_diagnosis,984f23d3d55d9097
H2-RM-00810,repair_record,Hospital 2,repair_records_2.csv,Usg Machine,Sonoscape,E2,,,"technical diagnostics confirmed that the thermal printer was not receiving an input signal when the print command was initiated. although the video cable connection at the printer terminal was initially reset, signal transmission remained absent. further troubleshooting identified a loose or improperly seated video cable interface at the usg machine output terminal. after the connection was properly re-established and secured at the main unit, the communication link was restored, and the system began printing correctly. the device has been verified and returned to full operational status for the opd.","Equipment: Usg Machine. Manufacturer: Sonoscape. Model: E2. Work done: technical diagnostics confirmed that the thermal printer was not receiving an input signal when the print command was initiated. although the video cable connection at the printer terminal was initially reset, signal transmission remained absent. further troubleshooting identified a loose or improperly seated video cable interface at the usg machine output terminal. after the connection was properly re-established and secured at the main unit, the communication link was restored, and the system began printing correctly. the device has been verified and returned to full operational status for the opd.",Missing both fault_description and initial_diagnosis,55329674e1bb522b
H2-RM-00821,repair_record,Hospital 2,repair_records_2.csv,Dental Chair,Confident,Mookambika,,,"issue was observed with the air rotor, where water leakage was present due to the foot switch not being relieved properly because of dirt accumulation. the solenoid valve was also found to be contaminated. the foot switch mechanism and solenoid valve of the air rotor were cleaned and lubricated, resolving the water leakage issue and restoring proper operation.","Equipment: Dental Chair. Manufacturer: Confident. Model: Mookambika. Work done: issue was observed with the air rotor, where water leakage was present due to the foot switch not being relieved properly because of dirt accumulation. the solenoid valve was also found to be contaminated. the foot switch mechanism and solenoid valve of the air rotor were cleaned and lubricated, resolving the water leakage issue and restoring proper operation.",Missing both fault_description and initial_diagnosis,8fea3b4b623f2361
H2-RM-00832,repair_record,Hospital 2,repair_records_2.csv,Patient Monitor,Hwatime,H8,,,"upon inspection, no ecg signal was observed on both the monitors. further checking revealed that a 3 lead ecg cable was connected, while the device settings were configured for a 5 lead ecg. due to this mismatch between the cable type and device configuration, the ecg signal was not being displayed. the device settings were reconfigured from 5 lead ecg to 3 lead ecg to match the connected ecg cable. after reconfiguration, the ecg signal was observed and found to be displaying properly.","Equipment: Patient Monitor. Manufacturer: Hwatime. Model: H8. Work done: upon inspection, no ecg signal was observed on both the monitors. further checking revealed that a 3 lead ecg cable was connected, while the device settings were configured for a 5 lead ecg. due to this mismatch between the cable type and device configuration, the ecg signal was not being displayed. the device settings were reconfigured from 5 lead ecg to 3 lead ecg to match the connected ecg cable. after reconfiguration, the ecg signal was observed and found to be displaying properly.",Missing both fault_description and initial_diagnosis,a0878a164a82cc4d
H3-RM-00044,repair_record,Hospital 3,repair_records_3.csv,Bubble Cpap,Resmed,,need operational verification before use,,performed pre operational tests,Equipment: Bubble Cpap. Manufacturer: Resmed. Problem: need operational verification before use. Work done: performed pre operational tests,Duplicate content,
H3-RM-00045,repair_record,Hospital 3,repair_records_3.csv,Bubble Cpap,Resmed,,need operational verification before use,,performed pre operational tests,Equipment: Bubble Cpap. Manufacturer: Resmed. Problem: need operational verification before use. Work done: performed pre operational tests,Duplicate content,
H3-RM-00075,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,C3,preop tests issue,,successful preop tests performed,Equipment: Ventilator. Manufacturer: Hamilton. Model: C3. Problem: preop tests issue. Work done: successful preop tests performed,Duplicate content,
H3-RM-00085,repair_record,Hospital 3,repair_records_3.csv,Infusion Pump,,,stand holder issue,,holder fixed,Equipment: Infusion Pump. Problem: stand holder issue. Work done: holder fixed,Duplicate content,
H3-RM-00090,repair_record,Hospital 3,repair_records_3.csv,Ventilator,,,tests issue,,preop tests successful,Equipment: Ventilator. Problem: tests issue. Work done: preop tests successful,Duplicate content,
H3-RM-00102,repair_record,Hospital 3,repair_records_3.csv,Tens Machine,,,broken electrode connector,,fixed connector,Equipment: Tens Machine. Problem: broken electrode connector. Work done: fixed connector,Duplicate content,
H3-RM-00134,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,C3,requested inspection of ventilator,,found o2cell defective,Equipment: Ventilator. Manufacturer: Hamilton. Model: C3. Problem: requested inspection of ventilator. Work done: found o2cell defective,Duplicate content,
H3-RM-00140,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,C1,requested for inspection of ventilator,,found the need to perform pm,Equipment: Ventilator. Manufacturer: Hamilton. Model: C1. Problem: requested for inspection of ventilator. Work done: found the need to perform pm,Duplicate content,
H3-RM-00160,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Mindray,,,,pre op checked,Equipment: Ventilator. Manufacturer: Mindray. Work done: pre op checked,Missing both fault_description and initial_diagnosis,9e8154a64a233996
H3-RM-00161,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,,,,pre op checked,Equipment: Ventilator. Manufacturer: Hamilton. Work done: pre op checked,Missing both fault_description and initial_diagnosis,e30a79eee884a9fd
H3-RM-00162,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,,,,pre op checked,Equipment: Ventilator. Manufacturer: Hamilton. Work done: pre op checked,Duplicate content,
H3-RM-00171,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,,,,pre op checked,Equipment: Ventilator. Manufacturer: Hamilton. Work done: pre op checked,Duplicate content,
H3-RM-00172,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Mindray,,,,pre op checked,Equipment: Ventilator. Manufacturer: Mindray. Work done: pre op checked,Duplicate content,
H3-RM-00179,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Mindray,,,,pre op checked,Equipment: Ventilator. Manufacturer: Mindray. Work done: pre op checked,Duplicate content,
H3-RM-00184,repair_record,Hospital 3,repair_records_3.csv,Sphygmomanometer,,,,,maintanence done,Equipment: Sphygmomanometer. Work done: maintanence done,Missing both fault_description and initial_diagnosis,dab3dde45aef65c5
H3-RM-00185,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,,,,pre op checked,Equipment: Ventilator. Manufacturer: Hamilton. Work done: pre op checked,Duplicate content,
H3-RM-00196,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Philips,Intellivue Mp20,spo2 cable not working,,spo2 cable repaired and insulated,Equipment: Patient Monitor. Manufacturer: Philips. Model: Intellivue Mp20. Problem: spo2 cable not working. Work done: spo2 cable repaired and insulated,Duplicate content,
H3-RM-00205,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,,,,pre operational checked,Equipment: Ventilator. Manufacturer: Hamilton. Work done: pre operational checked,Missing both fault_description and initial_diagnosis,6573e06d217fd1c5
H3-RM-00206,repair_record,Hospital 3,repair_records_3.csv,Ventilator,,,,,pre operation checked,Equipment: Ventilator. Work done: pre operation checked,Missing both fault_description and initial_diagnosis,a19b9185c4824341
H3-RM-00207,repair_record,Hospital 3,repair_records_3.csv,Ventilator,,,,,pre operational checked,Equipment: Ventilator. Work done: pre operational checked,Missing both fault_description and initial_diagnosis,9de428fe8610aa64
H3-RM-00221,repair_record,Hospital 3,repair_records_3.csv,Nebulizer,Niscomed,,no fuming,,general maintenance,Equipment: Nebulizer. Manufacturer: Niscomed. Problem: no fuming. Work done: general maintenance,Duplicate content,
H3-RM-00236,repair_record,Hospital 3,repair_records_3.csv,Nebulizer,Niscomed,,,,inspection was done working fine,Equipment: Nebulizer. Manufacturer: Niscomed. Work done: inspection was done working fine,Missing both fault_description and initial_diagnosis,df9c04062abc0ae0
H3-RM-00303,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,Hamilton-C3,,,pre op checked,Equipment: Ventilator. Manufacturer: Hamilton. Model: Hamilton-C3. Work done: pre op checked,Missing both fault_description and initial_diagnosis,0f3efd53869d03d0
H3-RM-00304,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,Hamilton-C3,,,pre op checked,Equipment: Ventilator. Manufacturer: Hamilton. Model: Hamilton-C3. Work done: pre op checked,Duplicate content,
H3-RM-00358,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,Hamilton-C3,,,circuit pass was done,Equipment: Ventilator. Manufacturer: Hamilton. Model: Hamilton-C3. Work done: circuit pass was done,Missing both fault_description and initial_diagnosis,e5c7d05d7b58f655
H3-RM-00359,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Leistung,,,,circuit passed and made standby,Equipment: Ventilator. Manufacturer: Leistung. Work done: circuit passed and made standby,Missing both fault_description and initial_diagnosis,d42c2cd08cb454ce
H3-RM-00466,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,Hamilton-C1,o2 cell calibration failed.,,inspected and vt analayzer was use to calibrate the oxygen flow.,Equipment: Ventilator. Manufacturer: Hamilton. Model: Hamilton-C1. Problem: o2 cell calibration failed.. Work done: inspected and vt analayzer was use to calibrate the oxygen flow.,Duplicate content,
H3-RM-00515,repair_record,Hospital 3,repair_records_3.csv,Blood Gas Analyzer,Wondfo,,,,installation was done by company representative. user traninig was provided.,Equipment: Blood Gas Analyzer. Manufacturer: Wondfo. Work done: installation was done by company representative. user traninig was provided.,Missing both fault_description and initial_diagnosis,8d1244def2c21090
H3-RM-00516,repair_record,Hospital 3,repair_records_3.csv,Hematology Analyzer,Horiba,Yumizen H500,,,installation of h550 done. user and general maintenance training provided. and sample validation done.,Equipment: Hematology Analyzer. Manufacturer: Horiba. Model: Yumizen H500. Work done: installation of h550 done. user and general maintenance training provided. and sample validation done.,Missing both fault_description and initial_diagnosis,002e91ebe77b8bf7
H3-RM-00523,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Schiller,Truscope Ultra Q7,spo2 probe locking issue,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Schiller. Model: Truscope Ultra Q7. Problem: spo2 probe locking issue. Work done: re-assessment was performed,Duplicate content,
H3-RM-00524,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Schiller,Truscope Ultra Q7,spo2 probe locking issue,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Schiller. Model: Truscope Ultra Q7. Problem: spo2 probe locking issue. Work done: re-assessment was performed,Duplicate content,
H3-RM-00543,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Schiller,Truscope Ultra Q7,incompatible ecg probe,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Schiller. Model: Truscope Ultra Q7. Problem: incompatible ecg probe. Work done: re-assessment was performed,Duplicate content,
H3-RM-00544,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Schiller,Truscope Ultra Q7,incompatible ecg probe,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Schiller. Model: Truscope Ultra Q7. Problem: incompatible ecg probe. Work done: re-assessment was performed,Duplicate content,
H3-RM-00546,repair_record,Hospital 3,repair_records_3.csv,,,,,,training sessions was conducted among sister in charge for qr access,Work done: training sessions was conducted among sister in charge for qr access,Missing both fault_description and initial_diagnosis,4d069c9aadc1abd6
H3-RM-00555,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Philips,Efficia Cm20,bp cuff unable to give reading,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Philips. Model: Efficia Cm20. Problem: bp cuff unable to give reading. Work done: re-assessment was performed,Duplicate content,
H3-RM-00556,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Philips,Efficia Cm20,bp cuff unable to give reading,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Philips. Model: Efficia Cm20. Problem: bp cuff unable to give reading. Work done: re-assessment was performed,Duplicate content,
H3-RM-00557,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Philips,Efficia Cm20,bp cuff unable to give reading,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Philips. Model: Efficia Cm20. Problem: bp cuff unable to give reading. Work done: re-assessment was performed,Duplicate content,
H3-RM-00558,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Philips,Efficia Cm20,bp cuff unable to give reading,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Philips. Model: Efficia Cm20. Problem: bp cuff unable to give reading. Work done: re-assessment was performed,Duplicate content,
H3-RM-00559,repair_record,Hospital 3,repair_records_3.csv,Patient Monitor,Philips,Efficia Cm20,bp cuff unable to give reading,,re-assessment was performed,Equipment: Patient Monitor. Manufacturer: Philips. Model: Efficia Cm20. Problem: bp cuff unable to give reading. Work done: re-assessment was performed,Duplicate content,
H3-RM-00614,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,C1,high tidal volume during spont mode,,inspected cleaned the filters and verified with vt analayzer,Equipment: Ventilator. Manufacturer: Hamilton. Model: C1. Problem: high tidal volume during spont mode. Work done: inspected cleaned the filters and verified with vt analayzer,Duplicate content,
H3-RM-00615,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,C1,high tidal volume during spont mode,,inspected cleaned the filters and verified with vt analayzer,Equipment: Ventilator. Manufacturer: Hamilton. Model: C1. Problem: high tidal volume during spont mode. Work done: inspected cleaned the filters and verified with vt analayzer,Duplicate content,
H3-RM-00627,repair_record,Hospital 3,repair_records_3.csv,Syringe Pump,Mindray,Benefusion Sp3,unabel to infuse all the medicine,,calibration was performed.,Equipment: Syringe Pump. Manufacturer: Mindray. Model: Benefusion Sp3. Problem: unabel to infuse all the medicine. Work done: calibration was performed.,Duplicate content,
H3-RM-00630,repair_record,Hospital 3,repair_records_3.csv,Infant Radiant Warmer,,,preopeartion of the machine was required,,reassessment was performed for the machine,Equipment: Infant Radiant Warmer. Problem: preopeartion of the machine was required. Work done: reassessment was performed for the machine,Duplicate content,
H3-RM-00631,repair_record,Hospital 3,repair_records_3.csv,Infant Radiant Warmer,,,preopeartion of the machine was required,,reassessment was performed for the machine,Equipment: Infant Radiant Warmer. Problem: preopeartion of the machine was required. Work done: reassessment was performed for the machine,Duplicate content,
H3-RM-00640,repair_record,Hospital 3,repair_records_3.csv,Bubble Cpap,,,pre operation was required,,working condition of machine was assured.,Equipment: Bubble Cpap. Problem: pre operation was required. Work done: working condition of machine was assured.,Duplicate content,
H3-RM-00662,repair_record,Hospital 3,repair_records_3.csv,Mattress Inflator,Niscomed,,broken cabel,,broken cabel was repaired,Equipment: Mattress Inflator. Manufacturer: Niscomed. Problem: broken cabel. Work done: broken cabel was repaired,Duplicate content,
H3-RM-00663,repair_record,Hospital 3,repair_records_3.csv,Mattress Inflator,Niscomed,,broken cabel,,broken cabel was repaired,Equipment: Mattress Inflator. Manufacturer: Niscomed. Problem: broken cabel. Work done: broken cabel was repaired,Duplicate content,
H3-RM-00785,repair_record,Hospital 3,repair_records_3.csv,Ventilator,Hamilton,C1,general maintenance required,,general maintenance was performed,Equipment: Ventilator. Manufacturer: Hamilton. Model: C1. Problem: general maintenance required. Work done: general maintenance was performed,Duplicate content,
