Equipment Description,Manufacturer,Model,Problem ,Work Done
ABG Machine,Edan,i5,"The device was unable to print, and the paper was stuck.","Upon thorough inspection, it was determined that the printer roller and the thermal head (printer assembly) were defective.
The faulty printer assembly was replaced with a new one.

The printing function has been successfully restored, and the ABG machine is now fully operational."
Patient Monitor,Edan,X12,The device was inable to measure and monitor BP,The cuff was found to have a leakage. The cuff was replaced with a new one.
Patient Monitor,Edan,X12,Staff reported difficulty measuring BP due to a missing connector that links the hose to the cuff," The missing connector was replaced using one from a damaged BP cuff. Further testing was performed, confirming successful BP measurement. The device is now fully functional."
ECG Machine,Biolight,E70,"The device was reported as unable to display signals from some leads. Also, the staffs reported an issue of printing.","The device was reported as unable to display signals from some leads. Also, the staffs reported an issue of printing.

 Inspection revealed that the cable connector was improperly connected to the machine. The connector was secured properly, and testing confirmed signals from all leads were displayed correctly. The printing function was also tested and found to be functional. 

The machine is now fully operational."
Anesthesia Machine,GE,9100c NXT,Monthly O2 cell calibration failure,"Inspection revealed debris accumulation and improper connection of the O2 cell. The cell was cleaned and properly connected. After retesting, the calibration was successful.

 The equipment is now fully functional."
Laryngoscope,Mac welch Allyn,,Flickering light ,"Upon inspection, loose connection  was found between the head and lower parts due to worn nut. The nut with one from a less frequently used device was replaced.

The laryngoscope is now fully functional with no further issues."
Endoscopy Tower,Olympus,,Absence of cable for image/video transfer to the main computer,A new video cable was installed and tested for functionality.
Sphygmomanometer,Microlife,,The device was reported as non-functional.,"Inspected the device and found cuff with visible tear and rubber bladder leakage.  Both rubber bladder and outer cuff were replaced. Then, the device was tested and now it is fully functional."
Patient Monitor,Edan,X12,The device was reported to be unable to display the ECG waveform.,"Upon inspection, it was identified that the ECG cable connector was loose at the jack. The connection was properly secured, and subsequent testing with the cable correctly connected confirmed that the ECG waveform was displayed successfully."
ENT Workstation,Meditech,,The device was reported as non-functional.,"Upon inspection, a damaged bulb and two faulty sprays were identified. Comprehensive functional testing of the suction system and remaining air sprays confirmed these components were operating within specifications.

Resolution: Full functionality will be restored upon replacement of the defective sprays and bulb."
HPLC Analyzer,Arkray,HB8380,Displayed error signal and was unable to print report.,"Upon inspection, the reagent reservoir was depleted. The reagent was replaced, and a priming procedure was performed to ensure proper system hydration and eliminate air bubbles.
Post-priming verification confirmed restored analytical functionality and printing capability."
Patient Monitor,Hawkmed,H8,"As per the request of the incharge, the monitor was tested for its functionality using fluke prosim 8 analyzer.","Upon inspection all the values of different parameters such as NIBP, SpO2,ECG, HR were found to be in acceptable range."
Patient Monitor,Hwatime,H8,"As per the request of the incharge, the device was tested using prosim 8 analyzer.","Upon inspection all the values of different parameters such as NIBP,ECG, HR were found to be in acceptable range. However, the SpO2 is not being detected and the probe was verified to be functional. So, the monitor needs further assessment for SpO2."
Patient Monitor,Hwatime,H8,"As per the request of incharge, the patient monitor was tested using fluke prosim 8 analyzer.",All the values of all parameters were found to be accurate and within acceptable range
Patient Monitor,Hwatime,H8,"As per the request of the incharge, the device was tested using fluke prosim 8 analyzer.",All the parameters were tested and found to be accurate and within the acceptable range.
Ventilator,Carefusion,T Bird Series Vela,'Vent Inop' alarm was being triggered,"
Work done:
Inspected and found water ingress into the flow sensor via the humidifier, bypassing the filter. Also, contaminated diaphragm with accumulated dirt and moisture was observed.

Corrective Actions:
- Cleaned and dried the flow sensor to remove residual moisture.
- Inspected and cleaned the diaphragm to eliminate particulate contamination.
- Conducted functional testing post-remediation, confirming all parameters met operational standards.
The ventilator passed all operational tests and was restored to full functionality.

"
Ventilator,Carefusion,T Bird Series Vela,'Vent Inop' alarm was being triggered,"Inspected and found water ingress into the flow sensor via the humidifier, bypassing the filter. Also, contaminated diaphragm with accumulated dirt and moisture was observed.

Corrective Actions:
- Cleaned and dried the flow sensor to remove residual moisture.
- Inspected and cleaned the diaphragm to eliminate particulate contamination.
- Conducted functional testing post-remediation, confirming all parameters met operational standards.
The ventilator passed all operational tests and was restored to full functionality.
"
CTG Machine,Bionet,TwinView FC1400,The device was reported as non-functional.,"Upon inspection, broken pins were identified in the connector. The connector was replaced, but the device remained non-functional. Further investigation revealed that the sensors within the ultrasound probe were detached and damaged.

The ultrasound (USG) probe was replaced. After replacement, the device was tested and found to be fully functional."
ECG Machine,Edan,SE-3,Staff reported that the printouts were blank.,"Upon inspection, the paper was found to be loaded incorrectly. Then, the paper was reinstalled correctly."
Laproscopic Maryland Dissector,,,"The insulation had been worn off, exposing the underlying metal.",The affection section was reinsulated properly.
Laproscopic Clip Applicator,,,Instrument not being able to grasp and secure clips during procedure.,Debris from the jaws were cleaned and misalignment was realigned.
C-Arm Machine,Kiran,Elite,The display of the machine not being on.,"The connection between the machine and the power connector was found to be loose interrupting the power supply to the display. After properly reconnecting it, the display was on and the machine was restored to its full functionality."
Spirometer,Recorders and Medicare Systems ,RMS Helios 401,The printed reports from spirometers were missing essential details and were not being generated in the required format.,"A comprehensive maintenance check was conducted on the spirometer in the OPD department following reports that printed reports were missing essential details and were not generated in the required format.l Upon inspection, it was found that the device settings were not configured to the necessary parameters, which was causing the issue. The settings were readjusted to ensure proper report formatting. Additionally, it was observed that the black ink cartridge was depleted, so it was replaced with a new one. After these adjustments and replacements, a test print was performed, confirming that the reports now include all required details and are printed in the correct format.

 The issue has been fully resolved, and the spirometer is functioning as intended."
Infusion Pump,Kellymed,ZNB-XAII,The device was reported as showing rate error.,"The motor was found getting stuck which was identified as the cause of rate error. Then, the motor was lubricated and tested using IDA.
For 150ml/hr and 10ml VTBI set in the infusion pump,the actual values displayed by IDA are:
Average flow rate: 93.27ml/hr
Instantenous flow rate: 100.48ml/hr
Deviation percentage:-37.82%
Volume infused: 6.36ml

The volume infused in the infusion pump was displayed to be 10ml while the actual volume infused was 6.36ml.
The deviation percentage at 50ml/hr for 10ml VTBI was found to be -38.02% and at 500ml/hr was found to be -25.03%.
 Hence,the infusion pump can no longer be used."
ECG Machine,Edan,SE 1200 Express ,The device was reported as not showing V2 signal.,"Upon inspection, the cable connection was found to be loose. The cable was tightly secured followed by analysis using prosim 8 simulator which verified that the readings were accurate."
Infusion Pump,Kellymed,ZNB-XAII,The device was reported as showing rate error.,"The motor was found getting stuck which was identified as the cause of rate error. Then, the motor was lubricated and tested using IDA.
For 150ml/hr and 10ml VTBI set in the infusion pump,the actual values displayed by IDA are:
Average flow rate: 140.59ml/hr
Instantenous flow rate: 121.03ml/hr
Deviation percentage:-19.31%
Volume infused: 8.01ml

The volume infused in the infusion pump was displayed to be 10ml while the actual volume infused was 6.36ml.
The deviation percentage at 50ml/hr for 10ml VTBI was found to be -19.03% and at 500ml/hr was found to be -19.05%
 Hence,the infusion pump can no longer be used."
ECG Machine,Edan,SE-3,The machine was unable to display or print signals except for lead II.,"Upon inspection, it was found that the device settings were misconfigured. The settings were reviewed and appropriately adjusted, which restored the display of all ECG signals. Subsequently, the printing format was modified to the required configuration. After these adjustments, the machine is now displaying and printing ECG signals from all leads as expected.

The device is fully operational, with both display and printing functions working correctly for all leads."
Patient Monitor,Edan,X12,The patient monitor was continuously alarming even when all measured values were within the normal range.,"Upon inspection, it was found that the normal range settings for several monitored parameters were incorrectly configured. Additionally, the alarm delay time was set to 35 seconds, which is longer than standard practice. The normal range parameters were adjusted to appropriate clinical values, and the alarm delay time was reset to 4 seconds.

Outcome:
After these adjustments, the monitor is functioning normally, with alarms only activating when parameters fall outside the correct ranges. The device is now ready for routine clinical use."
USG Machine,Samsung,HS70A,The device was reported as non-functional.,"The device was reset, after which normal operation was restored. Upon further inspection, it was found that the knobs for the C and 2D modes were dislocated from their positions due to a broken grip in the encoder mechanism. However, the button grips within the knobs remained intact. The knobs were carefully realigned, which restored the full functionality of both the 2D and C modes.

"
Otoscope,Heine,Mini 3000,The otoscope was reported as non-functional.,"Upon examination, it was determined that the bulb was damaged and non-operational. Additionally, the contact point between the bulb and battery was found to be depressed, preventing proper electrical connection.
The contact point was carefully restored to its proper position to ensure consistent electrical connectivity. The damaged bulb was removed and replaced with a new compatible bulb. Following these interventions, the device was tested and confirmed to be fully operational."
Patient Monitor,Hwatime,H8,The device failed to obtain NIBP measurements during clinical use.,"Visual inspection revealed physical damage to the rubber cuff component, compromising its structural integrity and preventing proper inflation required for oscillometric measurements.
The damaged NIBP cuff was replaced with a compatible, functional unit.

 Post-replacement testing confirmed accurate blood pressure readings within specified parameters."
CTG Machine,Bionet,TwinView FC 1400,"
The device was reported to produce continuous noise, and the TOCO (tocodynamometer) signal was not being displayed.
","Upon inspection, the source of the noise was identified as a poor connection between the ultrasound (USG) probe connector and the device socket. The socket had shifted slightly inward from its original position and was readjusted back to its proper placement. Additionally, the connector in the TOCO probe was found to be bent; it was carefully straightened due to its delicate nature. After these corrections, the probes were reconnected.

 Both issues were resolved successfully, and the machine is now fully functional."
Waterbath,,,The new device was reported as not being able to heat,"Upon inspection, it was found that the heater plug was not properly connected to the heater wire due to an improper fit. The connection was repaired and securely fitted. Following this repair, the boiler resumed heating the water effectively, and the water eventually reached boiling temperature."
Urological Endoscopic System(Camera),Richard Wolf,E113440,The image was distorted and full of disturbances while moving and bending the wire of the camera head.,"All the repair procedures were performed. However, the problem could not be solved but only mitigated for some time. Hence, the wire was replaced with the new one.
Now, the problem has been solved and device is fully functional."
Colonoscope,Fujifilm,XL-4450,The device was reported to be non-functional.,"The image being displayed was too distorted and disturbed unable to identify the structures and frequently stopped showing the image.All possible steps were taken to address the issue of the scope and to repair. However, the camera and the internal components were found to be damaged. Upon consultation with the vendor, it was taken for the repair. The device was then tested and found to be working properly."
Suction Machine,St. Francis,ST-SU650,"The suction machine was experiencing insufficient suction due to contamination from fluids such as blood and mucus. Additionally, the suction tube connection was loose, further affecting performance.","Upon inspection, it was found that the suction tube frequently detached due to excessive force, compromising suction efficiency. To address this:  
- The connection was reinforced using GI wire, and an additional metal clamp was applied to ensure a strong and secure attachment.

"
Sphygmomanometer,Microlife,,Device reported as non-functional.,"Upon inspection, the rubber cuff was found to have a leakage. After replacing the cuff, the device was restored back to functionality."
Suction Machine,St. Francis,ST-SU650,The suction machine was experiencing insufficient.,"Upon inspection, it was observed that the suction tube was frequently detaching due to excessive force, resulting in compromised suction performance. To resolve this issue, the connection was reinforced using GI wire, and an additional metal clamp was applied to ensure a strong and secure attachment.  

"
C-Arm Machine,Kiran,Elite,"The device was reported as non-functionalUpon inspection, a fatal error was detected.","
Since the device was still under the warranty period, the vendor's service engineer was contacted. With their assistance, the software application was successfully installed.  
The device has been fully updated and is now ready to perform."
Oxygen Concentrator,Engage Nepal,QJZY10La,Device reported as non-functional.,"A thorough assessment was performed in which the oxgygen purity was found to be as same as the atmospheric oxygen percentage. The reservoir was found to be clogged with the debris of the zelolite. 
The seive bed was also insepcted and found that the zeolite had been turned to powedered form due to moisture. Also, the solenoid valve was found to be non-functional. "
Oxygen Concentrator,Engage Nepal,QJZY10La,The device was reported as non-functional.,"Upon inspection, the device was not delivering enough oxgyen level and the purity was also just as similar as the atmospheric oxygen. The working hour was more than 1500 hours. The seive bed was found to be defective with damaged zeolite. The device is beyond repair."
Oxygen Concentrator,Engage Nepal,QJZY10La,The device was reported as non-functional.,"Upon inspection, the oxygen level and the purity was compromised beyond acceptable level. The machine as thoroughly inspected. The motor was found to be defective and also the zeolite had expired as it had turned to powder form. The machine is beyond repair."
Oxygen Concentrator,Engage Nepal,QJZY10La,Device reported as non-functional.,"The device was found to be delivering the oxygen purity of 22%. Upon thorough inspection, the zeolite was found to be damaged and the solenoid valve was not functioning. Hence, the device is beyond repair."
ECG Machine,Edan,SE-1200 Express,The device was reported as nonfunctional.,"Upon inspection, it was observed that the ECG lead was covered with gel and was not in optimal condition. The device was tested and verified to be functioning correctly using a ProSim 8 analyzer. Additionally, the electrodes were cross-checked and confirmed to be in proper working or
It is recommended to clean the electrodes thoroughly by removing any residual gel after each use to ensure optimal device performance and longevity."
Fluoroscence Reader,Boditech Med Inc,ichroma II,Device reported as non-functional.,"  A comprehensive inspection was conducted. The power cord was examined and confirmed to be fully operational, with voltage measurements at the connector matching the required voltage. However, the connection between the connector component  in the device and  internal circuit board was found to be compromised, causing the power failure. The faulty connection was stabilized and resoldered to restore integrity. Following this repair, the device powered on successfully.

 Subsequent functional tests confirmed that the fluorescence reader is now fully operational.."
Microscope,Olympus International,CX23LEDRFS1,Device reported as non-functional.,"Upon inspection, it was found that the stage clip was sticking during movement. The cause was identified as an accumulation of dust and glass residues, which were thoroughly cleaned. After cleaning, the stage clip moved smoothly without obstruction. Additionally, the stage clip was not securely holding the slides; this issue was addressed and rectified. Following these interventions, the microscope was tested and confirmed to be fully functional."
ECG Machine,Edan,SE-1200 Express,"Ac A comprehensive inspection of the device was performed.
It was observed that the suction electrodes and limb leads had accumulated adhesive residue, which was thoroughly cleaned.
The contacts between the leads and electrode wires were found to be loose and were subsequently tightened.
Despite these interventions, intermittent loss of ECG signals persisted. The electrode was also cross-verified and found to be faulty.

Further inspection revealed disconnected wires within the electrode cable assembly as the root cause of the problem.
The electrode cable was replaced and test was done.

Outcome:
After replacement of the electrode cable, the ECG machine was tested and found to be fully functional.",
Laparoscopic Tower,Secure,,"
The image output was completely black, making anatomical identification difficult during procedures.

","The camera head and light source were inspected and found to be in good working condition.
All cable and device connections were checked and reset.

Further investigation revealed that the video processor settings were misaligned.
The video processor settings were adjusted to the correct parameters, resulting in restoration of a clear image.

Outcome:
The laparoscopic tower was tested and is now fully functional."
Physio Fascial Gun,Blueidea,,"
The Physio Fascial Gun was found to be non-functional due to a completely drained battery and a disconnected screen wire (display issue).  


","The device's battery was fully discharged and subsequently recharged. To address the screen issue, the internal connection was reassembled correctly, and the wire leading to the display was soldered. After these repairs, the device started functioning properly."
Sphygmomanometer,,,Device reported as non-functional.,"
Upon inspection, it was found that the pipe connecting the rubber cuff was in poor condition and nearly detached. The cuff was replaced using a part from another non-functional sphygmomanometer. After replacement, the device was tested and found to be functioning properly."
Sphygmomanometer,,,Device reported as non-functional.,"
Upon inspection, the pressure relief valve was found to be faulty which could not be tightened and was leaking air. Additionally, the cuff was found to have a leakage. The pressure relief valve and the rubber cuff were replaced. After these replacements, the device was tested and is now fully functional."
Suction Machine,St. Francis,ST-SU650A,The machine was reported to be providing insufficient suction.,"
Upon inspection, it was observed that the suction tube was frequently detaching due to excessive force, which compromised suction performance. Additionally, the suction pipe inside the bottle was not properly connected due to a misfit. To resolve these issues, the suction bottles were switched, and a metal clamp was applied to ensure a strong and secure connection.

After these interventions, the device was tested and is now providing adequate suction and functioning properly."
Suction Machine,St. Francis,ST-SU650A,"Device was found be non- functional
","
Upon inspection,the wire  was found to be disconnected  which was reconnected. Then the device was tested and found to be fully functional."
Sphgmomanometer,,,"
 The device was reported as non-functional."," Upon inspection, both the bulb and the manometer dial were found to be functional. However, leakage was detected in the cuff. The cuff was properly repaired to eliminate the leak. The device has been tested and is now fully functional."
Anesthesia Machine,GE Datex Ohmeda,9100c NXT,Monthy O2 cell calibration fail.,"Upon inspection, it was observed that the monthly calibration of the oxygen (O₂) sensor had not been performed. Additionally, the O₂ sensor was found to be improperly connected. The sensor was tested and reconnected correctly. Calibration was then carried out to ensure accurate O₂ measurement. These actions successfully restored the machine's functionality."
Digital Blood Pressure Monitor,Microlife,A2 Classic,"The device was reported as non-functional.
","During testing, the device consistently displayed error code 'ERR 3' when attempting to measure blood pressure. Upon further inspection, a leakage was detected in the cuff, which prevented accurate measurement and triggered the error. 
The monitor was then tested with a functional cuff, and it measured blood pressure accurately without displaying any error.
So, 
The  defective cuff was replaced from the discarded items  .Now the device is full functional."
CTG Machine,Bionet,TwinView FC 1400,The device was reported as non-functional,"Upon inspection, it was observed that the fetal heart rate (FHR) sound was too faint to be recognized, and there was constant noise when the ultrasound (USG) probe was connected. The connections were reset, and the speaker was thoroughly assessed. It was found that the connection was improper, which was causing the issues. The pins were secured and the cable connections were made intact.

Current Status:
The device is now fully functional."
Digital Blood Pressure Monitor,MHI,,Device was reported as non-functional.,"The batteries were replaced and test was performed. 
Upon inspection, a leakage was identified in the cuff, which prevented proper inflation and triggered the error message. This malfunction resulted in the device being unable to measure blood pressure.

 
The issue was resolved by replacing the defective cuff from the discarded item and  now the device is fully functional."
Sphygmomanometer,,,The pressure gauge needle was not settling at the baseline position,"It was observed that the pressure gauge had shifted out of proper alignment, preventing the needle from resting at the correct starting point. The gauge was carefully repositioned to restore precise baseline calibration.  

Status: The pressure gauge has been successfully adjusted, and the sphygmomanometer is now functioning optimally, delivering accurate readings."
Stethoscope,,,Physical damage in the tube.,The tube was replaced from another non-functional device.
Sphygmomanometer,,,The device was reported as non-functional.,"Upon inspection, the indicator needle on the manometer dial was found to be off the zero position and was repositioned accordingly. The inflation bulb and rubber cuff were checked and found to be functional. However, the cuff had physical damage, which caused instability during blood pressure measurement. The damaged cuff was replaced.

Current Status:
The device is now fully functional."
Sphygmomanometer,,," the pressure gauge was misaligned.  
","The gauge was carefully repositioned to restore accurate baseline calibration. Additionally, the damaged pressure bulb was replaced with a functional one.  


The pressure bulb was successfully replaced, and the pressure gauge was properly aligned"
TMT Machine,Allengers,,The treadmill machine was reported to be operating at an excessively high speed during the recovery which posed difficulties for elderly patients.,"A comprehensive inspection of the machine was carried out. It was discovered that an incorrect setting had been selected. The treadmill's speed recovery setting was adjusted from 1.1 to 0.5. This adjustment was verified by the staff and confirmed to provide an optimal speed for patient use.

Current Status:
The device is now fully functional and operating as intended."
ECG Machine,Edan,SE-3,"The printed ECG signals were not in the correct order, and the signals were not aligned on the same line, making interpretation difficult","Upon inspection, it was found that incorrect settings had been selected. The AGC (Automatic Gain Control) and baseline adjustment options in the record info setup menu were turned off. After enabling these options, the ECG prints are now properly aligned and organized, resolving the confusion in reading the results.

Current Status:
The device is now functioning correctly, and the printouts are clear and easy to interpret."
Laryngoscope,Artified,,"
The device was found to be in a non-functional state.
","Upon inspection, the batteries were discovered to be depleted and were replaced. Out of the four Macintosh blades inspected, two were found to be functional. However, the other two Macintosh blades had non-functional bulbs, which were also replaced. Additionally, it was noted that the smallest-sized Macintosh blade is missing the nut that connects the blade to the handle.

"
C-Arm Machine,Kiran,Elite,The device was reported as non-functional," Upon inspection, a fatal error was detected.  
Since the device was still under the warranty period, the vendor's service engineer was contacted. With their assistance, the software application was successfully installed.  

Status:
The device has been fully updated and is now ready to perform."
Suction Machine,St. Francis,ST-SU650A,The suction machine was experiencing insufficient suction and continued to lose the suction tube during operation.,"Upon inspection, it was observed that the suction tube was frequently detaching due to excessive force, resulting in compromised suction performance. To resolve this issue, the connection was reinforced using GI wire, and an additional metal clamp was applied to ensure a strong and secure attachment.  

"
Sphygmomanometer,Microlife,,Device reported as non-functional.,"
Upon inspection, it was found that the pipe connecting the rubber cuff was in poor condition and nearly detached. To resolve the issue, the cuff was replaced using a part from another non-functional sphygmomanometer.  

"
Suction Machine,St. Francis,ST-SU650A,"The suction machine was experiencing insufficient suction due to contamination from fluids such as blood and mucus. Additionally, the suction tube connection was loose, further affecting performance.
",": 

Upon inspection, it was found that the suction tube frequently detached due to excessive force, compromising suction efficiency. To address this:  
- The connection was reinforced using GI wire, and an additional metal clamp was applied to ensure a strong and secure attachment And in addition The existing suction filter was removed and replaced with a new filter to improve functionality.
"
Suction Machine,Jin Sol,,The device was reported as non-functional,"Upon inspection, the device exhibited low suction. The cause was identified as a loose connection between the suction pipe and the suction bottle connector, resulting in leakage. The connector was properly secured to the bottle by sealing the leakage, and the suction pipe was correctly connected. Following these repairs, the suction function was restored to proper working condition.
"
Laparoscopic Tower,Secure,,The device was reported to produce a very dark image.,"The monitor and video processor settings were adjusted; however, the issue persisted. The light source was inspected and found to be functional. Upon further examination, the optical fiber cable connecting the light source to the scope was identified as faulty, likely due to damaged fibers, resulting in insufficient light transmission. This was confirmed by cross-verification using a different cable.

The device’s functionality will be fully restored by replacing the faulty optical fiber cable."
Nebulizer,RossMax,,The device was reported as non-functional,"Upon inspection, it was found that the nebulizer air outlet was broken.  Since the air outlet could not be fixed, the entire housing was replaced using a discarded item.  
"
OT Bed,,,The hand section was non-functional,".
Upon inspection, it was observed that the hand section was loose and unable to remain in a fixed position. The root cause was identified as a missing screw, which resulted in instability and improper movement of the hand section. The missing screw was replaced, and all other screws were checked and properly tightened.

After the corrective action, the OT bed is fully functional and operating as intended."
Endoscopy tower,Olympus,,No image was being displayed on the TV screen.,"Upon inspection, the AV cable's pin was found to be broken, resulting in loss of video signal. To restore functionality and improve image clarity, the AV cable was replaced with an SVGA cable. After replacement and testing, the image was properly displayed on the TV screen, providing a larger and clearer view compared to the built-in screen.

"
 Urological Endoscopic System ( Camera ),Richard Wolf,E113440,Device reported as non-functional.,"During the procedure, the visual output from the cystoscope was found to be significantly distorted, which impeded accurate identification of anatomical structures and caused inconvenience during surgery. Attempts to rectify the issue by resetting all connections were unsuccessful.
It is noted that the connecting wire was replaced only a month ago. Given that the problem may lie either with the scope itself or the recently replaced wire, on-site repair is not feasible. Therefore, it is recommended that the camera  be sent to the authorized vendor for further inspection and repair."
Infusion Pump,Hawkmed,HK-100II,Device reported as non-functional.,"Upon inspection, the fluid being infused was not equal to VTBI when the finish alarm appeared. The error was more than 5%. The device was disassembled and motor were inspected and lubricated. But it did not solve the problem. Also,the pressure sensor error was being displayed, which was assessed but could not be repaired. "
Syringe Pump,Kellymed,KL-605T,Equipment reported as non-functional.,"Upon inspection, the display was found to be damaged. Additionally, the pluger was also found to be stuck. All the steps were taken to repair but the machine could not be brought back to functionality."
Suction Machine,Jin Sol,,Device was reported as delivering low suction.,"Upon inspection, a loose connection was identified between one of the suction machine’s connectors and the tubing, causing air leaks and reduced suction efficiency. The leak was sealed to restore proper function. Additionally, another connector was found to be missing and was replaced accordingly.

Current Status:
Following these repairs, the suction machine is now fully functional with optimal suction performance."
Laproscopic Clip Applicator,,,Device reported as non-functional.,"Upon inspection, the device was found unable to move and lock the clip. The shaft and handle were stuck. The device was carefully disassembled, revealing the presence of rust causing the obstruction. The affected parts were thoroughly lubricated, then properly reassembled and tested.

The laparoscopic clip applicator is now fully functional and operating as intended."
Patient Monitor,Hygeia,Eva-N,Device reported as showing inaccuate values.,"As requested, Hygeia  patient monitor was functionally tested using fluke Prosim 8 analyzer. All components and accessories were found intact
SpO₂, ECG, HR, NIBP all Readings were  in acceptable range."
Laparoscopic Tower,,,"The laparoscopic tower display showed a bluish tint, affecting visibility during surgery","
On inspection, the video processor settings were found to be out of range. The settings were corrected,the wires were reset and Auto White Balance (AWB) was performed to recalibrate the colors.

Outcome:
The display colors returned to normal, and the device is now functioning properly."
ECG Machine,Edan,SE-3,The device was reported as non-functional.,"Upon inspection, the ECG signals were flat even when the machine was connected to a patient. The electrodes were properly placed with gel applied, but the signal frequently dropped off. It was found that the limb electrodes were not properly connected. The metal hose connections of the electrodes were tightened securely, which improved signal display. However, the machine was still not printing the ECG reports. Despite readjusting the print settings, the printing issue persisted. Subsequently, all connections were reset, and the roller assembly was thoroughly cleaned to remove accumulated dust. After these steps, printing was successfully restored.

 The machine is now fully functional."
Sphygmomanometer,,,"
The device was reported as non-functional","Upon inspection, the air release valve was found to be faulty and was subsequently repaired. Additionally, the cuff was not properly seated, which made accurate measurement difficult. To resolve this, the outer cuff was replaced using a cuff from another non-functional device.

After these repairs, the sphygmomanometer is now functioning properly."
USG Machine,Samsung,HS70A,"The device was reported to have a printing issue, with the field of view (FOV) labels appearing too large and obstructing the image.","Upon inspection, it was found that the printer cable was loosely connected; this was properly reconnected to ensure stable communication. Additionally, the labels on the printouts were initially extremely small, which was corrected by readjusting the print settings. It was also discovered that the font size of the labels was set too high, causing them to block the image. The font size was adjusted to the appropriate level. 

After these corrections, the device was tested and confirmed to be fully functional."
TMT Machine,Allengers,,Device reported as non-functional due to excessive artifacts.,"
During the initial inspection, it was observed that the readings from the machine were significantly distorted. Investigation revealed that the earthing wire and the ECG cable might be the cause of the issue. Both components were reset and properly reconnected, which resolved the artifacts and restored clear readings. However, a new issue was identified when the treadmill component failed to turn on. The power cord and switch were checked and confirmed to be in good working condition.  Then, the internal connections of the machine was reset. After these adjustments, a thorough test was conducted.
"
Blood Culture System,Bactec,FX-40,Device reported as non-functional.,"Upon inspection, it was found that the tablet integral to the machine was not powering on, which compromised the overall functionality of the device. The tablet’s battery had drained completely and was unable to turn on even when connected to AC power. The power cord and connections were checked and confirmed to be in good condition. After properly reconnecting the power supply and performing a reset on the tablet, it successfully powered on, restoring the full functionality of the machine."
USG Machine,Sonoscape,E2,USG machine unable to power on.,"
Upon inspection, it was found that the Switched-Mode Power Supply (SMPS) was not functional. Further investigation revealed that the wires supplying power to the main board were not properly connected.

The SMPS unit was disassembled for closer examination.
The faulty wire connection was identified and properly resoldered to restore electrical continuity.
Then, the SMPS was reassembled and reconnected to the device.
After reassembly and reconnection, the device powered on successfully and began charging as expected."
Automated Glycohaemoglobin analyzer,Arkray,HA8380,The device was reported as non-functional,"Upon inspection, the analyzer displayed error code T-481. Priming was performed and the reagent was replaced; however, the issue persisted. Further examination revealed that the column had exceeded its recommended runtime. It was determined that replacing the column was necessary to resolve the problem and restore the device’s functionality.

After that, the column was replaced with the new one. Additionally, calibration was performed.

Now, the device is fully functional."
Dental Chair,Confident,Mookambika,The air rotor was reported as non-functional.,"Upon inspection, it was found that the footswitch was unable to activate the air rotor. The switch was found to be misaligned and was repositioned to ensure proper operation. Following this adjustment, the air rotor was able to deliver water; however, the bur was not rotating. Further examination revealed that the bur was stuck in the bearing. The bearing was removed, lubricated, and then reinstalled. This allowed the bur to rotate freely.

"
Suction Machine,St.Francis,SU-650,Device reported as non-functional.,"
Upon detailed examination, it was identified that the suction tubing connected to the filter was dislodging under high vacuum pressure. The loose connection was causing intermittent loss of suction and operational failure.
The existing suction tubing was removed and replaced with a new, appropriately sized tube to ensure a secure and airtight connection.
The tubing connection was verified for proper fit and tightness to prevent dislodgement under suction pressure.

Functional testing was conducted post-replacement to confirm stable operation and consistent suction performance.

Now, the device is fully functional."
USG Machine,Samsung,HS70A,"The Samsung HS70A USG machine was reported to have a printing issue. Specifically, the device was unable to print patient records and examination results as required during routine operation.","
 The machine was tested and it was observed that the printer was not receiving any signal from the USG machine.
Visual inspection of the connections revealed that the cable connecting the printer to the USG machine was not properly secured.

The printer cable was reconnected securely to both the printer and the USG machine.
After reconnection, the machine was tested again. The printer began to print examination results; however, patient records were still not being printed.

A thorough assessment of the USG machine’s print settings was conducted.
It was discovered that the print option for patient records was set to 'Off' in the device settings.
The print option was switched to 'On' to enable patient record printing.

After this adjustment, the machine was able to print patient records. However, the output was not in the desired format—the font size was too small and the color format differed from the standard used in the department.

The patient record print setup was accessed and modified.
The font size was increased for better readability, and the color format was adjusted to match the department’s standard and the doctor’s preferences.

Several test prints were performed to ensure the output met all requirements. Now, the machine is fully functional."
Sphygmomanometer,,,Device reported as non-functional,"
Upon inspection, air leakage was detected from the pipe near the air release valve.
The leaking section was carefully cut off, and the remaining part was securely reattached.

Additionally, the indicator needle on the dial was realigned to ensure accurate readings.
After these repairs, the device was tested and found to be fully functional."
ECG Machine,Biolight,BLT-E70,The ECG machine was reported as non-functional,"
The machine was tested and it was observed that the V2 and V3 signals were not being displayed.
The connector was inspected and found to be properly connected; however, the issue persisted.
During comprehensive testing, it was noted that pressing the connector caused the signals to appear intermittently.
Further investigation revealed that pins 7 and 8 of the machine’s connector port were discontinuous.
The connector was carefully examined, and continuity was restored by soldering the affected pins.
Testing was performed without reassembling the machine, and the signals were displayed correctly.
After reassembling and securing the screws, the problem reoccurred.
The connector board was then realigned to ensure that the connector pins did not come into contact with the housing.

Following this adjustment, the device was tested again and found to be fully functional."
